energy,stress,motivation,hour_of_day,persona,focus_readiness
5,3,9,19,Early Bird,54.95715835688472
5,4,5,22,Early Bird,53.97223339530806
5,10,10,6,Early Bird,55.74794362486587
10,5,3,22,Early Bird,65.44099972763672
9,10,10,11,Early Bird,94.21374868535257
1,6,7,13,Early Bird,49.70008977929232
2,10,2,4,Early Bird,52.6114681825824
5,6,3,7,Early Bird,80.65574697550802
4,1,7,12,Early Bird,49.77760867687034
4,4,6,18,Early Bird,54.932722696794016
10,10,3,6,Early Bird,64.42606865084866
3,2,10,19,Early Bird,56.813414677942745
9,1,9,23,Early Bird,61.31258930439212
1,6,5,5,Early Bird,45.309758339451236
6,5,5,3,Early Bird,57.79727997748742
3,3,4,17,Early Bird,20.08436742764639
1,5,6,21,Early Bird,49.331456562594035
3,7,9,10,Early Bird,80.66720419311147
5,8,10,3,Early Bird,57.92892737944331
10,8,10,17,Early Bird,22.6052943459054
4,6,1,8,Early Bird,78.98646552857487
1,5,4,12,Early Bird,48.30475598595493
3,6,2,18,Early Bird,54.475757514519515
5,9,2,9,Early Bird,88.53832036216386
1,5,10,21,Early Bird,49.592473043685885
1,1,2,8,Early Bird,72.2167170236169
7,6,1,4,Early Bird,55.20187493113868
5,6,3,20,Early Bird,59.7884288317049
10,10,3,16,Early Bird,26.80316183263461
5,9,1,18,Early Bird,52.383688703789325
1,1,8,1,Early Bird,48.98692826654791
8,7,10,1,Early Bird,61.82638974596086
2,1,6,11,Early Bird,78.72530181805048
5,9,1,15,Early Bird,14.673635970946872
5,5,2,10,Early Bird,83.03474414852776
3,7,6,1,Early Bird,56.175273460548766
3,2,4,5,Early Bird,47.723781540730656
1,8,7,9,Early Bird,71.88985268193454
8,5,2,5,Early Bird,57.83335690331015
5,2,3,14,Early Bird,19.196244285458665
8,9,3,2,Early Bird,59.46301982476988
2,10,3,18,Early Bird,50.49028754300276
10,6,5,5,Early Bird,63.13593837902283
1,5,9,11,Early Bird,75.33905208395845
10,9,10,14,Early Bird,21.406366322233453
9,6,8,10,Early Bird,95.55406279380153
1,3,4,14,Early Bird,18.638908832393344
8,6,10,22,Early Bird,63.34218831443567
10,8,3,6,Early Bird,60.757439365030756
3,7,2,5,Early Bird,48.18066103922728
9,7,5,9,Early Bird,93.61039090760167
7,9,1,6,Early Bird,57.22579783778756
9,1,4,3,Early Bird,56.37497399762577
10,3,9,12,Early Bird,67.71997485633129
6,2,8,7,Early Bird,85.12794981333427
1,3,10,8,Early Bird,79.13436279558448
2,8,6,4,Early Bird,51.13186615860192
9,1,5,21,Early Bird,57.148728775139375
4,8,7,8,Early Bird,79.22347387534342
7,3,3,7,Early Bird,89.5218989875087
4,6,6,16,Early Bird,24.723615841727284
8,6,3,1,Early Bird,64.12996146904692
3,5,6,21,Early Bird,57.858836466311935
4,3,4,0,Early Bird,54.647581944567015
1,10,6,4,Early Bird,56.126986989566504
4,3,1,5,Early Bird,51.418759904148146
7,10,2,12,Early Bird,55.84633336731052
8,2,4,0,Early Bird,57.78497789032769
6,7,3,16,Early Bird,19.928544441532836
5,2,5,23,Early Bird,57.00430285527014
6,8,9,4,Early Bird,55.43237702151297
3,5,5,4,Early Bird,54.96019921374466
4,9,10,17,Early Bird,18.126626833153882
8,8,7,7,Early Bird,88.97076093854788
6,1,7,14,Early Bird,16.309010277122333
1,9,1,0,Early Bird,53.06049537162794
5,8,8,18,Early Bird,47.98122099245534
7,3,6,5,Early Bird,60.644166179059646
10,4,1,19,Early Bird,57.35740906653522
7,4,6,0,Early Bird,59.91023333374118
1,4,6,1,Early Bird,53.162319147421734
10,5,10,0,Early Bird,60.26110568444002
4,8,4,23,Early Bird,51.15797586017363
8,5,4,11,Early Bird,94.99131568980725
10,5,4,10,Early Bird,100.0
10,8,6,5,Early Bird,57.32746997264677
10,8,2,0,Early Bird,53.0258410156428
8,4,4,4,Early Bird,58.650583110948816
10,1,10,8,Early Bird,96.32634999594042
6,3,8,8,Early Bird,86.72931700783137
5,5,10,13,Early Bird,57.34321980284936
4,6,7,0,Early Bird,54.16717473686608
8,5,9,20,Early Bird,61.28257455541284
9,10,4,20,Early Bird,56.25427586001091
4,9,10,10,Early Bird,83.73831104687055
6,2,7,17,Early Bird,25.52158175075467
3,6,8,6,Early Bird,52.884524839940774
4,6,5,23,Early Bird,57.116478435335786
6,10,2,20,Early Bird,53.90535191505394
1,7,1,19,Early Bird,57.829954879196514
6,8,1,6,Early Bird,51.11209216833724
1,7,3,23,Early Bird,50.65546794155093
1,8,3,17,Early Bird,20.965109870786556
1,3,2,1,Early Bird,46.39596455405173
6,3,4,0,Early Bird,64.38809812500583
8,7,7,2,Early Bird,53.77746491584654
2,1,7,22,Early Bird,49.66654993722737
2,7,8,0,Early Bird,47.13242910940674
7,8,6,14,Early Bird,24.522965056831403
5,3,3,0,Early Bird,60.14997332936417
3,8,8,13,Early Bird,54.3229045455838
4,4,5,21,Early Bird,52.02830004564752
2,7,10,6,Early Bird,49.187932953330034
1,7,5,18,Early Bird,55.10211076416598
1,5,4,10,Early Bird,79.87476147845771
10,2,3,22,Early Bird,63.55563087453267
9,2,5,11,Early Bird,90.98988241933397
3,4,10,21,Early Bird,51.934903017059824
8,7,1,17,Early Bird,24.772419703747975
3,1,9,7,Early Bird,78.61709227450943
9,6,6,10,Early Bird,97.86230407040182
4,10,10,12,Early Bird,57.309075800333346
6,2,5,9,Early Bird,90.4542761233942
4,9,6,1,Early Bird,60.01672213691986
10,7,5,9,Early Bird,97.15277473937915
6,5,9,5,Early Bird,53.28026398094288
9,5,7,9,Early Bird,95.5333270530881
1,10,5,13,Early Bird,49.955960741109486
4,3,10,20,Early Bird,54.59567508868888
8,4,1,6,Early Bird,59.62300561781089
7,8,6,21,Early Bird,57.398808555668076
5,8,1,3,Early Bird,51.30412562276194
4,1,2,8,Early Bird,83.43568033138804
10,2,5,8,Early Bird,95.53953625618418
9,8,10,6,Early Bird,57.99544318287166
3,3,2,4,Early Bird,55.95716815047069
1,1,10,22,Early Bird,49.216606355585334
1,8,3,7,Early Bird,80.85359910180168
5,6,6,7,Early Bird,87.06710860964492
9,2,9,11,Early Bird,94.28885465739776
7,10,5,21,Early Bird,57.62306306148933
10,7,5,6,Early Bird,61.33991919455126
2,7,2,19,Early Bird,51.36018287210263
7,3,2,9,Early Bird,93.0435673439871
8,3,2,2,Early Bird,61.892218344587874
5,8,10,22,Early Bird,59.332519235646906
8,1,4,21,Early Bird,52.28646378440449
9,2,1,15,Early Bird,27.530410997676334
2,7,3,9,Early Bird,78.41121640217114
2,7,2,2,Early Bird,51.92716816032417
8,9,10,6,Early Bird,56.33432800261372
4,5,1,16,Early Bird,21.098918535734114
2,4,2,4,Early Bird,49.58563925001903
9,1,5,13,Early Bird,56.139622487084296
10,5,5,10,Early Bird,94.17462804095878
6,7,8,13,Early Bird,58.494628273127844
2,9,7,19,Early Bird,52.622838064684196
4,8,4,21,Early Bird,54.86750593172346
10,2,9,8,Early Bird,100.0
1,10,3,23,Early Bird,49.51209286102059
7,1,9,2,Early Bird,56.49565531312412
4,10,1,9,Early Bird,77.50755387741894
1,8,3,2,Early Bird,60.50211501619248
6,8,9,8,Early Bird,80.26299840301849
9,3,9,1,Early Bird,56.36488643872165
10,9,8,4,Early Bird,57.281892616493174
6,8,5,15,Early Bird,25.92455085408839
10,2,6,4,Early Bird,62.08428309253962
5,1,2,7,Early Bird,81.8175196124977
3,10,3,23,Early Bird,54.63400233295517
1,6,8,18,Early Bird,57.050662632560744
8,1,9,12,Early Bird,59.507249896561085
10,4,6,6,Early Bird,62.572337795152215
5,10,9,18,Early Bird,53.37430262683436
7,2,4,1,Early Bird,58.91667313781032
7,2,1,8,Early Bird,84.92043157706024
8,3,6,18,Early Bird,60.23876069808166
7,10,9,1,Early Bird,60.6269458323194
5,6,4,19,Early Bird,50.675517255809154
4,2,4,16,Early Bird,24.255707854098095
6,1,6,23,Early Bird,58.9306972341112
2,2,4,2,Early Bird,46.88473999226883
1,6,3,10,Early Bird,81.1487133033944
10,7,10,1,Early Bird,55.655958298751266
7,7,4,1,Early Bird,50.40358213013975
4,6,3,16,Early Bird,23.292520733001247
5,4,6,18,Early Bird,55.7299229923851
9,5,3,0,Early Bird,62.490456374093775
2,3,1,23,Early Bird,49.21200341769318
2,8,9,16,Early Bird,25.879558415099048
7,3,5,23,Early Bird,49.55611504030439
10,3,4,13,Early Bird,64.91433824864292
4,4,9,5,Early Bird,58.50311652001338
9,6,6,20,Early Bird,61.52193064696617
1,8,5,17,Early Bird,18.54212806209283
2,6,9,0,Early Bird,54.819544310589066
9,1,9,13,Early Bird,61.538040634013804
6,6,4,0,Early Bird,55.33710747851101
1,2,1,0,Early Bird,51.08065751698359
9,1,4,21,Early Bird,60.896348303805134
2,10,7,11,Early Bird,76.06370005641624
1,8,3,5,Early Bird,56.10508862560038
9,2,8,7,Early Bird,97.14943500261683
2,4,7,10,Early Bird,79.34360009864639
10,6,10,2,Early Bird,62.850436412996494
9,10,2,21,Early Bird,64.19664575745695
9,3,10,18,Early Bird,62.22524846310789
7,4,8,22,Early Bird,55.311018985393
2,6,2,18,Early Bird,51.754447805535825
6,5,8,8,Early Bird,84.46988053638185
3,3,6,14,Early Bird,21.45935135585762
1,7,1,20,Early Bird,53.79863725298586
4,5,4,11,Early Bird,85.61947564585745
4,8,2,16,Early Bird,29.780714511576583
10,5,2,3,Early Bird,61.2366552067318
2,2,4,5,Early Bird,49.33536773365826
3,2,8,20,Early Bird,48.91088102434664
1,3,10,7,Early Bird,81.97096540911433
10,2,7,4,Early Bird,55.37874398433289
5,6,9,21,Early Bird,54.52980880533242
8,7,9,19,Early Bird,61.18720452962536
2,7,6,16,Early Bird,22.12284016673192
2,3,5,4,Early Bird,51.73946566860943
1,8,8,3,Early Bird,50.85923826336245
10,3,6,13,Early Bird,61.43112248166936
10,10,9,0,Early Bird,66.56925086342756
1,9,6,19,Early Bird,47.22024010088053
9,5,5,11,Early Bird,96.64352785591605
8,6,4,17,Early Bird,23.731432169256284
2,9,5,19,Early Bird,52.447531781034805
3,6,5,20,Early Bird,51.56695956231738
5,1,1,18,Early Bird,57.748983024107446
8,2,7,11,Early Bird,92.03946542769398
6,4,7,12,Early Bird,53.801947426227144
5,1,7,7,Early Bird,86.51628143987445
6,5,6,14,Early Bird,25.610203192066262
10,10,2,17,Early Bird,26.487045663917815
1,10,8,14,Early Bird,19.153237517170613
8,9,4,0,Early Bird,58.202495607625025
1,3,5,15,Early Bird,18.185115032749366
2,2,6,8,Early Bird,79.88988495902852
1,9,9,15,Early Bird,19.49647748092976
9,4,2,5,Early Bird,59.61857294608798
4,6,3,5,Early Bird,56.36970024011362
1,8,6,6,Early Bird,49.825723449939794
9,5,1,11,Early Bird,96.51474158064754
3,9,1,16,Early Bird,27.585071576690716
1,3,6,10,Early Bird,81.9260454804091
10,2,9,2,Early Bird,63.029451268027906
5,10,8,15,Early Bird,22.768824479782825
4,7,6,13,Early Bird,50.455818050103595
2,5,7,10,Early Bird,78.2419429359971
3,4,5,12,Early Bird,54.17625358910261
6,3,2,13,Early Bird,50.92112955741384
4,3,8,15,Early Bird,21.704981119615752
10,4,2,1,Early Bird,58.190029304334864
9,7,10,6,Early Bird,54.23956485321473
7,8,1,9,Early Bird,86.5321357535327
6,1,8,12,Early Bird,55.54897423225729
10,7,6,21,Early Bird,67.63814500021343
10,9,10,23,Early Bird,61.23916960135855
10,9,10,7,Early Bird,95.95022617641331
5,4,2,23,Early Bird,59.52898737518812
3,4,7,9,Early Bird,82.76003462559024
10,1,7,17,Early Bird,27.043018716224672
5,1,3,11,Early Bird,83.93767707565604
1,6,5,14,Early Bird,21.860613501235527
3,7,10,8,Early Bird,85.37848081015056
9,2,3,6,Early Bird,53.94406718371418
5,2,3,9,Early Bird,90.03310244222932
1,7,8,13,Early Bird,49.33923527487602
3,4,10,5,Early Bird,48.13086231960276
4,8,5,0,Early Bird,55.69003638751507
4,3,9,7,Early Bird,78.68849971777313
7,4,1,1,Early Bird,53.33328660877331
5,5,8,5,Early Bird,60.06891099308409
10,3,6,5,Early Bird,62.611728647442725
2,7,2,5,Early Bird,57.01771716051311
4,8,6,11,Early Bird,84.25705702809813
10,4,5,12,Early Bird,63.9336306911772
7,10,9,22,Early Bird,59.08321895683611
1,8,4,2,Early Bird,47.72306170598226
5,4,8,23,Early Bird,54.05077465091559
1,9,5,19,Early Bird,48.75246227811261
7,1,5,15,Early Bird,24.176028261067202
6,4,2,13,Early Bird,55.12758175956789
2,9,5,1,Early Bird,50.77653074179437
9,9,1,10,Early Bird,91.34781892773408
10,4,2,22,Early Bird,62.439583220558696
6,3,6,10,Early Bird,92.06907124007617
4,10,1,9,Early Bird,88.67910924173498
6,2,3,23,Early Bird,61.32263751241406
3,7,4,13,Early Bird,53.78079667510318
9,5,3,1,Early Bird,57.697669461512056
4,2,10,1,Early Bird,52.36866170032998
9,6,1,3,Early Bird,55.92974206894806
6,4,3,2,Early Bird,56.905167538048694
9,6,9,12,Early Bird,57.17146339352215
2,4,9,14,Early Bird,20.439086091043663
4,4,2,5,Early Bird,49.03070140448655
3,5,3,1,Early Bird,56.76930902703557
10,9,2,10,Early Bird,96.93775347738143
9,7,3,8,Early Bird,97.12292853953728
3,5,9,13,Early Bird,53.907349143080374
1,4,4,6,Early Bird,49.11621453973815
8,1,5,6,Early Bird,56.22151618786153
4,6,7,17,Early Bird,20.478001673834363
5,4,3,6,Early Bird,49.1680377115446
7,5,6,4,Early Bird,65.09914242125853
7,2,5,21,Early Bird,58.16089589656362
7,10,8,6,Early Bird,61.10297199441044
5,1,5,17,Early Bird,18.9166807259829
5,4,1,2,Early Bird,56.538530839238135
1,5,4,22,Early Bird,49.83121017942362
2,8,3,8,Early Bird,80.66149999534464
4,6,10,20,Early Bird,54.874349769635415
9,1,2,15,Early Bird,22.307954108588657
1,10,2,7,Early Bird,83.47192463979651
2,8,6,7,Early Bird,77.18285523098999
1,1,7,23,Early Bird,50.9096535986997
8,8,9,22,Early Bird,58.77765405502978
1,3,8,2,Early Bird,48.592521800365056
4,4,3,6,Early Bird,57.896433974541154
3,3,10,4,Early Bird,56.76559545335976
8,10,6,14,Early Bird,24.565248024892284
1,8,8,8,Early Bird,73.24223296290351
1,4,4,13,Early Bird,49.49261253926815
9,9,9,22,Early Bird,57.06944530885957
8,2,6,12,Early Bird,60.783520384243715
5,2,10,14,Early Bird,23.189863343526635
9,9,8,13,Early Bird,56.27509360710258
10,9,2,21,Early Bird,60.945121467544844
3,1,8,20,Early Bird,52.50085001192503
3,10,7,6,Early Bird,55.51268811007512
5,8,8,13,Early Bird,52.55906393182097
7,7,6,21,Early Bird,58.199063855257926
2,3,7,23,Early Bird,50.045929318624516
6,5,1,23,Early Bird,53.423483681140716
7,7,9,4,Early Bird,57.73189296383773
8,10,10,15,Early Bird,25.78993150060114
3,1,4,7,Early Bird,83.308594407153
3,10,2,10,Early Bird,84.29971485275365
7,2,9,15,Early Bird,20.92568336569542
9,4,4,21,Early Bird,59.69280032248999
1,9,2,20,Early Bird,51.70927402878735
9,4,3,22,Early Bird,59.694538217886716
10,4,4,19,Early Bird,49.945168449285966
10,8,6,2,Early Bird,61.18173591970846
6,8,7,20,Early Bird,53.37492377703126
10,6,4,12,Early Bird,60.54334953063318
4,3,8,4,Early Bird,51.49271359493727
10,7,4,3,Early Bird,59.94007371384029
2,3,3,16,Early Bird,19.000438556179454
3,6,8,12,Early Bird,54.65981806685285
3,4,7,16,Early Bird,20.01872017291863
7,1,2,19,Early Bird,59.319299824616614
6,1,1,5,Early Bird,58.646647347400425
4,4,6,14,Early Bird,20.88337967178684
9,10,5,19,Early Bird,62.26624585911256
10,2,3,12,Early Bird,62.15397092974851
6,6,1,12,Early Bird,61.02664218063346
3,5,3,9,Early Bird,79.76573708202189
5,5,4,16,Early Bird,24.08624653739898
5,10,5,3,Early Bird,54.91745528484809
1,8,9,3,Early Bird,56.316754790009234
6,9,6,13,Early Bird,53.00484368243512
4,8,9,3,Early Bird,54.905375699458396
5,8,10,21,Early Bird,52.366052239730315
8,10,6,9,Early Bird,88.51935893788043
9,6,9,12,Early Bird,62.15917229904614
5,4,2,0,Early Bird,61.0999158958104
7,6,2,23,Early Bird,53.810672890051606
7,5,10,11,Early Bird,89.41426145940089
8,9,5,20,Early Bird,60.382794038865484
10,5,8,16,Early Bird,21.23713173049225
3,3,9,20,Early Bird,48.15460455228347
9,1,2,20,Early Bird,62.49421806337151
4,10,9,6,Early Bird,55.40999478228951
8,2,10,10,Early Bird,96.74413691799397
9,7,6,16,Early Bird,22.01722933805384
6,2,1,9,Early Bird,87.25843164913913
5,5,2,21,Early Bird,56.309679412473
2,3,7,21,Early Bird,54.711804523258586
8,8,6,9,Early Bird,84.60060089478847
5,4,10,3,Early Bird,54.890399950244166
4,6,8,7,Early Bird,81.91857978738621
9,8,10,16,Early Bird,26.034246502789863
2,9,8,2,Early Bird,52.25004121297973
4,3,6,6,Early Bird,56.643854344298305
4,7,9,17,Early Bird,21.61860567504401
8,10,8,23,Early Bird,55.3684443981349
9,4,5,20,Early Bird,62.148962533581035
8,2,10,19,Early Bird,53.858369964257776
6,2,7,15,Early Bird,21.995674003680378
8,5,5,3,Early Bird,56.78905461027401
6,6,3,8,Early Bird,87.07265837001827
1,7,5,20,Early Bird,55.23666166624629
2,4,6,22,Early Bird,53.169660458417184
3,1,4,19,Early Bird,50.6828906470571
2,10,5,2,Early Bird,53.01545153038507
4,6,2,5,Early Bird,53.113795769582914
3,9,2,14,Early Bird,17.516190458694645
8,2,6,2,Early Bird,61.24953579116877
10,5,8,0,Early Bird,58.304145670802754
9,3,2,10,Early Bird,91.76787402269275
9,7,6,16,Early Bird,24.19093039580835
3,1,4,15,Early Bird,25.175397044503622
2,2,3,7,Early Bird,80.40867750805879
1,8,7,22,Early Bird,47.980317026736294
3,4,10,14,Early Bird,18.499006026183274
3,9,5,20,Early Bird,50.96676508842545
4,4,1,6,Early Bird,54.8466229286698
6,7,2,23,Early Bird,58.23968028704321
6,4,5,7,Early Bird,86.28516461790124
4,1,9,7,Early Bird,79.9587860257524
8,10,6,22,Early Bird,59.164727943356034
3,3,10,18,Early Bird,50.91074062123219
9,4,7,13,Early Bird,56.193683893866215
7,9,3,14,Early Bird,26.757946348525095
4,8,6,20,Early Bird,51.267888530805806
9,1,8,19,Early Bird,59.27559423694548
9,5,3,8,Early Bird,96.15033178832674
4,4,8,1,Early Bird,51.408146335737584
9,6,9,23,Early Bird,61.20291402668449
3,2,5,20,Early Bird,51.05200606423882
5,4,5,2,Early Bird,60.165553488833
9,9,4,2,Early Bird,58.74722165949649
1,2,8,0,Early Bird,47.63873202026515
3,10,4,21,Early Bird,52.67018685388945
8,5,3,5,Early Bird,62.91989358811418
4,7,7,3,Early Bird,56.22638247321568
6,3,6,11,Early Bird,87.36961442035346
7,9,1,7,Early Bird,90.6544561281214
7,6,6,21,Early Bird,54.772588242905854
6,10,8,18,Early Bird,52.03993246633788
10,1,9,12,Early Bird,55.7810476089845
3,4,8,16,Early Bird,21.250683282113915
6,1,1,7,Early Bird,90.25343874921921
1,10,6,8,Early Bird,75.26740971947734
9,8,5,16,Early Bird,21.841338969171783
3,7,7,8,Early Bird,81.80598428005132
7,3,1,7,Early Bird,83.59058097123217
8,5,1,12,Early Bird,53.24759217098353
10,7,10,4,Early Bird,60.43460299397267
2,2,2,3,Early Bird,50.15568140452925
1,4,2,4,Early Bird,50.366609283516915
4,1,1,11,Early Bird,80.03846141854645
10,3,9,6,Early Bird,65.34623495418444
10,2,3,10,Early Bird,91.80444594774966
10,2,3,21,Early Bird,61.35489810494879
5,2,6,2,Early Bird,51.77530282807264
8,2,1,8,Early Bird,85.90870784504125
1,7,10,4,Early Bird,49.06329171405457
5,1,9,22,Early Bird,58.14382618525643
4,3,7,8,Early Bird,81.99381283167862
5,6,10,11,Early Bird,86.5842051032387
9,7,8,10,Early Bird,94.46607585812765
10,9,6,3,Early Bird,61.73051450362378
2,8,5,6,Early Bird,44.82483502686162
4,5,8,0,Early Bird,51.10678723616492
10,2,3,10,Early Bird,93.70953009322449
1,1,6,4,Early Bird,54.66636990711916
8,6,1,3,Early Bird,58.33351648086861
1,2,5,23,Early Bird,51.08385436573338
4,10,6,10,Early Bird,84.25456123540324
10,3,2,5,Early Bird,59.223611811998694
10,5,10,4,Early Bird,64.79594151151414
10,5,3,22,Early Bird,60.37725351760626
9,1,4,16,Early Bird,24.457405926765983
6,4,5,4,Early Bird,63.89877331078955
6,5,7,18,Early Bird,50.5831835812797
3,10,2,12,Early Bird,49.215635499034676
7,4,3,0,Early Bird,54.40488232095302
8,3,2,10,Early Bird,92.89316955406451
3,2,8,21,Early Bird,51.03775997055704
9,8,10,18,Early Bird,57.65625656093905
5,1,5,3,Early Bird,51.17250374029018
6,3,5,1,Early Bird,56.797658894178
6,5,6,10,Early Bird,92.30735010078986
7,5,1,23,Early Bird,58.864715669568156
6,1,3,18,Early Bird,54.8911689918691
10,4,6,22,Early Bird,55.65583088387793
1,8,7,14,Early Bird,17.971772229955175
9,3,2,16,Early Bird,28.081868779964836
4,7,3,15,Early Bird,20.989306523249528
9,8,4,12,Early Bird,62.497418057625154
8,3,6,2,Early Bird,57.38663506094433
5,7,2,21,Early Bird,58.37233815995804
6,10,10,20,Early Bird,58.84257938636857
2,9,8,2,Early Bird,54.85937513612826
7,7,3,0,Early Bird,58.53925626029188
4,9,5,0,Early Bird,54.54174961982509
3,2,8,22,Early Bird,53.435716150344994
9,2,4,5,Early Bird,60.410966931584866
2,3,6,15,Early Bird,15.432486687149028
2,8,1,22,Early Bird,50.57962571910292
6,2,2,12,Early Bird,57.8849207764135
8,2,7,2,Early Bird,60.488424525795246
7,5,7,0,Early Bird,56.41852158368159
1,9,5,12,Early Bird,46.041243906483345
9,9,6,16,Early Bird,28.109337939292413
7,7,10,9,Early Bird,89.65769500326492
4,2,2,13,Early Bird,57.86780958814691
4,5,8,14,Early Bird,25.18062972249664
7,8,2,11,Early Bird,97.27898011673324
7,2,2,23,Early Bird,55.42773480619622
1,9,1,17,Early Bird,20.957064616101167
6,6,1,22,Early Bird,53.09879526958379
6,5,9,10,Early Bird,94.3133087641792
9,1,3,8,Early Bird,91.57133737936603
4,2,3,12,Early Bird,56.623167542138184
3,1,6,15,Early Bird,22.054439812292557
1,10,7,0,Early Bird,52.38125918832014
9,8,7,9,Early Bird,91.75662569468902
5,1,8,11,Early Bird,83.17424174198074
1,4,9,8,Early Bird,77.60990883070723
5,10,1,4,Early Bird,54.14595089298225
6,7,9,2,Early Bird,51.675553815170666
3,9,7,8,Early Bird,80.37164230305277
2,5,4,1,Early Bird,53.8666214321302
6,8,6,0,Early Bird,52.58350064665769
4,7,2,8,Early Bird,84.12922857829255
2,3,6,11,Early Bird,76.29384533692748
5,8,6,21,Early Bird,52.57541924484873
3,9,1,21,Early Bird,53.462951379908844
6,10,5,11,Early Bird,87.89513235780353
5,6,8,1,Early Bird,53.095279240772754
6,1,4,13,Early Bird,55.34589236540534
6,1,6,19,Early Bird,48.083574499220305
8,9,4,5,Early Bird,57.19301647808997
1,8,10,11,Early Bird,81.69551579758664
6,5,10,14,Early Bird,22.28691462593108
6,7,5,0,Early Bird,56.576704292585696
7,10,7,19,Early Bird,59.86712386836325
5,4,7,3,Early Bird,60.75700267965582
